Features,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
1.0,0.003683412317553314,0.002119215429184751,0.002827401384988437,0.0015749861121096623,-0.002039495714500409,-0.009681641555201749,0.18337656947661896,-0.07663589818400512,-0.021884975431300344,0.0018522291904170614,0.04010663042039212,-0.004740649513497815,-0.15396306436933022,-0.019029087122183215,-0.01795739475838913,0.018462335495561966,0.08821191361010794,-0.07371566057445868,0.02436454840061136,-0.001561672451493963,0.29618424665452053,0.08351027195939915,-0.19024033698461792,-0.2301504394531417,0.13151997882014446,-0.10674661259700541,0.38389411146112273,-0.1728378305757758
2.0,0.015455071549471802,0.01027660334869434,0.003684895078115827,-0.017289287739852693,-0.023833079567003587,-0.09997261880165251,0.19727999759559417,0.06832022013924481,0.15450129333000726,0.08964409201017491,0.5690752657856261,-0.03995740119484037,-0.0705341117428436,0.5267161493221647,-0.24609876563091354,-0.11972192335255963,0.08412480400415738,-0.010513647170594926,0.1946222647986963,-0.04625660332935287,0.2878044095434939,-0.09347246508335992,0.03448024426710689,0.018112057927077534,-0.2141935024666186,-0.07555671235055847,-0.0008652248404107329,0.06264969634817623
3.0,0.003946037265447999,0.003055555353968859,0.0031907349479693803,-0.003746565511355841,-0.007413084324872857,-0.004777192627293779,0.19668452457161018,-0.10247686559980132,-0.053574569928788104,0.07538996387636064,-0.01109685365465246,-0.2814341387468859,-0.06654622290022827,-0.059738255790722734,0.20692420742619144,0.04131911699915239,-0.21136758742621503,-0.10298922441397551,-0.026358660727132437,0.47827719048124373,-0.06414005858914765,-0.2830367114388504,-0.19538430538221122,0.21130094215644946,-0.25494751932235166,0.047470469185842294,0.04245789732118211,0.17555378709324548
4.0,0.008327599565890392,0.00316290406896329,0.002765867057961304,0.0020781347606063146,0.0007867043432438831,0.017687798808803622,0.2373976009282813,-0.16520004455286136,-0.09418949748136729,-0.028970050639314224,-0.03538666272827069,-0.04604763049160717,0.04624338791238636,0.1466233908642704,-0.1014171085504868,-0.0003602382672438666,-0.2287037322306259,0.21262324117789547,0.31897274612377335,0.4009071112240606,-0.18196496612348595,0.09604942582302993,0.44335549070934077,-0.3498281108982178,0.1463301522842613,0.007314223894274849,-0.27843123843273443,-0.06618127341867576
5.0,0.007756176068584634,0.003640149919455485,0.000983320171888276,0.0019711447610808027,-0.0006688592880973566,-0.0007545969824536913,0.17942077707481002,-0.10231081575027454,-0.0720747698567671,0.004558617194665171,-0.1270985782575429,0.040353911099273734,0.007561560596870761,-0.09031766161971301,-0.1453367944670283,0.07985391098300863,0.04279380208369177,0.017277875199686283,0.0975849695602358,-0.043745847821108554,0.06777264537675586,0.17195153592450024,-0.32288765567722255,0.011791975760957302,0.17084023340828117,-0.1548973649490415,-0.23335870158438157,0.05275868242552313
6.0,0.001196017798381733,0.004238439652570004,0.00200405441439444,0.001287120938012176,-0.0028450919744407097,0.006145844376134871,0.2548678651475197,0.01769277781797785,-0.027696010335504843,0.016870849435207814,-0.015463382913144464,0.04195786759756485,-0.08443803651919819,-0.10082001783401717,-0.011517312007064776,-0.007968808066052628,0.08449302589199291,-0.17587755158461071,-0.1560775348002437,0.051808259138695946,0.1779495147732266,-0.13745507330977777,0.19272631631065087,0.3559954528030528,0.20606953875289594,-0.2059881993433426,-0.19836384997198755,-0.038112623304134556
7.0,0.0005342325638797444,0.00032399739388327113,0.003034973470766503,0.00560914567967897,0.00020151778856722087,0.0024168644277940857,0.24995467136552021,0.040420098857575956,-0.005386827241158684,0.012517964041643308,-0.06813297775980896,0.16716280314458123,-0.10207987473108081,-0.05660878262833339,0.065469542221411,-0.06735200854540069,0.14947508115295438,-0.04320810845031544,-0.08982546687124755,0.008457545295219093,0.0967596288499192,-0.004981067559814481,0.44464767751625156,0.3096160978257249,0.14702438077853758,-0.018343567735851544,0.2051742760054121,0.023971504411758347
8.0,0.004109837650320934,-0.00045758436417403406,0.0017263766708466779,0.007619215061699447,-0.0002202608110344773,0.013041780946774734,0.20381020883519899,-0.06832190771262908,0.004476660341801634,0.11189120719908223,-0.15131030727929184,0.3009370006834709,0.016551557304491468,-0.06180888859921005,0.003376748700055075,-0.07667968583592441,0.17363447304898733,0.10095259382126318,0.11464676605467682,-0.2190102172069732,0.002472118572291161,0.26343072018777314,0.17710349582365742,0.12552162270071218,-0.10184874366702394,0.022021145302812354,-0.17784177530250234,0.15218714747426157
9.0,0.004284318451566583,-0.00026991962762325803,0.0011161951187089619,0.006895144457723443,-0.0006451905902928831,0.011375541157300486,0.18358095272361702,0.005281390887088028,0.07505520190956816,0.19349319981074256,0.09500875721107659,0.11341119866742935,0.04268881451560555,0.011586609092348614,0.25906174887000183,-0.05594578526235248,0.08182415576389832,0.13232882409034355,-0.13845891893089088,-0.2059769694398068,0.0012583270475579696,-0.01204042482348353,-0.1113232417483724,-0.11965123062779151,-0.07101582574247294,0.05540808890459609,-0.2742473600245595,0.0004936282167347868
10.0,0.0035277370504950647,0.005197769489806165,0.0009654132734067859,0.0041648002505861315,-0.004778247462469541,-0.0004351472252290741,0.1925441267923969,0.022701861828446124,-0.06092935657737925,0.1727625559306048,0.07051458053040725,-0.02427800507838375,0.3709121185535193,0.10754475142912191,0.15107043349119514,-0.009058742041771406,0.2019764589211045,0.04960479755082719,-0.1746657548558965,-0.12714235288457454,-0.1948232090033228,-0.19027606428987864,-0.09185412766247053,-0.010277805884556656,-0.13593504328136025,0.3673636678246294,-0.23446819411786723,-0.12479430919668215
11.0,0.005127217899606331,0.0031745923362604747,0.002048876033034125,-0.00085411151680601,-0.01197757646832238,-0.010027983023743166,0.1843898801524787,0.09598278591964016,-0.1613205255381883,-0.0038278498847167733,-0.06246431920568558,-0.22829619020123276,0.5706664994064671,0.125853909925156,-0.020903847649687935,0.013277452699902877,0.08683269108490324,0.007274861791967033,-0.03048845222787244,-0.11457398299195228,-0.18284123127511684,0.1154947343809354,0.18306771288358512,0.006007844300300107,0.009882550614339347,-0.10722660324773381,0.4723299901055898,0.06004463374140392
