Features,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31
4_C_3rdDeg,0.062633267,0.06402151,0.028446945,-0.023620731,0.091333653,-0.043753013,0.014977916,-0.106750372,-0.205875133,0.059597251,0.077227428,-0.178482346,-0.15976189,-0.146511301,0.00698571,-0.049344692,-0.084481275,-0.132903888,-0.002324205,-0.010190712,0.027942678,0.03252643,0.025959205,-0.008213803,0.041990488,-0.03620299,0.059471267,-0.062605965,0.032938481,0.026610235,-0.009266167
4_D_3rdDeg,0.143864063,0.260146798,0.227328908,0.038778538,-0.023425973,-0.07445222,-0.003072598,0.00180507,-0.056956244,-0.061505784,-0.022121688,0.158079647,-0.000876307,-0.373930949,-0.13259601,0.059276626,0.075536675,0.055166326,0.028325759,-0.031626348,-0.062066047,-0.157916073,0.104649359,0.070256375,-0.162174915,0.135282027,0.26764288,-0.421485822,-0.105012238,-0.070208576,0.149413066
5_A_3rdDeg,0.030607267,-0.021829173,-0.036258634,-0.003750958,0.082446312,-0.026918523,0.033311109,-0.061904637,-0.008708035,0.28364775,-0.101021281,0.044311447,-0.189788227,0.064043292,0.032354041,0.142325562,0.689444903,-0.33775119,0.007843149,0.042946785,-0.017708236,0.006466708,-0.067625065,-0.002031891,-0.020601744,0.003640934,0.000159821,-0.024704593,-0.030997352,-0.039929988,-0.14552171
5_B_3rdDeg,0.031770069,-0.022909133,-0.03081608,0.000752929,0.069310516,-0.020819608,0.027391701,-0.052721936,-0.00082102,0.273456544,-0.105771686,0.034100456,0.005453575,0.008864242,-0.009371656,0.75223285,-0.280165226,-0.131029478,0.001775313,0.009969622,-0.011632225,0.012982236,-0.053891095,-0.009622085,-0.010812055,0.047957837,0.006806268,-0.053985896,0.032026139,0.080795784,0.303222418
5_C_3rdDeg,0.075394967,-0.056069878,-0.004296182,-0.00772254,0.033023646,-0.036042654,0.013415974,-0.0543405,-0.086430236,0.237197149,-0.079590449,-0.066225773,0.383322581,-0.062194674,-0.02487261,-0.103301943,0.015056978,0.007149184,-0.005021224,-0.015166371,0.018674795,-0.020696972,0.042512562,0.011793949,0.002510564,0.00364573,0.057443011,0.094510486,-0.372722282,0.00505875,-0.021183084
5_D_3rdDeg,0.2358504,-0.177010119,0.036530552,0.018523114,-0.029275827,-0.03554475,-0.015070842,0.00790911,-0.006838579,-0.036586686,0.003257155,0.01513273,-0.015132514,0.011049342,0.007592603,0.002172786,-0.001641778,-0.001372956,-0.000764614,0.060561515,0.119504154,-0.029414392,-0.011188473,0.04785084,-0.016978281,0.008259548,-0.024257845,-0.034152421,0.087315042,-0.045922145,0.015180039
6_A_3rdDeg,-0.00464863,0.004060585,-0.02718943,0.146401302,-0.011391168,0.001551103,0.001549655,-0.004664101,-0.011901052,0.001467717,0.003948898,-0.008928359,-8.70E-05,-0.002113429,-0.000794751,0.000218028,0.000610617,-0.001189994,0.001273711,0.000592209,-0.000903945,0.000743128,0.003153999,0.008901346,-0.024225701,-0.032075465,0.016067995,0.009465169,0.002334481,0.002765085,0.004894775
0_A_4thDeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_A_4thDeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_B_4thDeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_A_4thDeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_A_4thDeg,-0.122279737,-0.1096614,0.185995431,0.029026742,-0.023138248,-0.080252213,-0.06014567,0.018523497,-0.002157796,0.019991361,-0.019001309,-0.074551121,-0.022502688,0.042985864,-0.193505583,0.008276257,-0.009833139,-0.015644184,-0.006153134,-0.094883689,-0.062358826,-0.046814251,0.038773137,-0.020863557,0.010208822,0.015674266,0.043173262,0.022110938,0.028545281,0.007981375,-0.02191095
3_B_4thDeg,-0.122279737,-0.1096614,0.185995431,0.029026742,-0.023138248,-0.080252213,-0.06014567,0.018523497,-0.002157796,0.019991361,-0.019001309,-0.074551121,-0.022502688,0.042985864,-0.193505583,0.008276257,-0.009833139,-0.015644184,-0.006153134,-0.094883689,-0.062358826,-0.046814251,0.038773137,-0.020863557,0.010208822,0.015674266,0.043173262,0.022110938,0.028545281,0.007981375,-0.02191095
3_C_4thDeg,-0.122279737,-0.1096614,0.185995431,0.029026742,-0.023138248,-0.080252213,-0.06014567,0.018523497,-0.002157796,0.019991361,-0.019001309,-0.074551121,-0.022502688,0.042985864,-0.193505583,0.008276257,-0.009833139,-0.015644184,-0.006153134,-0.094883689,-0.062358826,-0.046814251,0.038773137,-0.020863557,0.010208822,0.015674266,0.043173262,0.022110938,0.028545281,0.007981375,-0.02191095
4_A_4thDeg,-0.122279737,-0.1096614,0.185995431,0.029026742,-0.023138248,-0.080252213,-0.06014567,0.018523497,-0.002157796,0.019991361,-0.019001309,-0.074551121,-0.022502688,0.042985864,-0.193505583,0.008276257,-0.009833139,-0.015644184,-0.006153134,-0.094883689,-0.062358826,-0.046814251,0.038773137,-0.020863557,0.010208822,0.015674266,0.043173262,0.022110938,0.028545281,0.007981375,-0.02191095
4_B_4thDeg,-0.122279737,-0.1096614,0.185995431,0.029026742,-0.023138248,-0.080252213,-0.06014567,0.018523497,-0.002157796,0.019991361,-0.019001309,-0.074551121,-0.022502688,0.042985864,-0.193505583,0.008276257,-0.009833139,-0.015644184,-0.006153134,-0.094883689,-0.062358826,-0.046814251,0.038773137,-0.020863557,0.010208822,0.015674266,0.043173262,0.022110938,0.028545281,0.007981375,-0.02191095
4_C_4thDeg,-0.036365981,-0.036116103,0.064144623,0.012929953,0.016769669,0.166704583,0.525669315,-0.144820385,-0.232758303,-0.176440821,0.075844012,0.492949436,0.178747879,0.282705958,-0.279511845,0.037371762,-0.031325062,-0.221486232,0.003690919,0.041760251,0.014975347,0.028755341,0.054425326,0.018700362,0.023940724,-0.063538064,-0.019721874,0.023910557,0.000876534,-0.011245319,-0.067987376
4_D_4thDeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
