Features,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31
4_D_Steps2BN,0.095909376,0.173431199,0.151552606,0.025852358,-0.015617315,-0.049634813,-0.002048399,0.00120338,-0.037970829,-0.041003856,-0.014747792,0.105386431,-0.000584205,-0.2492873,-0.08839734,0.039517751,0.050357783,0.036777551,0.002430159,0.084724271,-0.037759712,0.026831355,-0.146632616,-0.006780681,-0.025071795,0.01035654,-0.226943373,0.159701823,-0.037234178,0.051689228,-0.018148556
5_A_Steps2BN,0.002288592,-0.043997479,-0.005964004,0.023310436,0.086610794,-0.060996328,0.088704237,0.013668351,0.139398389,0.310965719,0.053886008,0.124211291,-0.15703423,-0.005621148,-0.01584678,0.009685895,0.061677153,0.30013174,0.004062693,-0.024443236,-0.055260252,-0.028120447,-0.262669628,0.00556661,-0.089472275,-0.013027749,0.085698602,0.030581967,-0.032317705,0.010657878,-0.007530488
5_B_Steps2BN,0.010911142,-0.036541793,-0.018508227,0.021621632,0.091969189,-0.050452729,0.183675984,0.017833999,0.11988246,0.210402733,-0.219354533,0.030706887,-0.171258183,-0.018832594,-0.006501572,0.024670422,0.024361381,0.308363276,0.012061315,0.266577952,0.077670724,0.143556223,0.711985496,0.112654934,0.152852115,-0.121642782,-0.151975495,-0.014309953,-0.010968723,-0.024427717,-0.036984628
5_C_Steps2BN,0.036086567,-0.026568192,-0.010384607,-0.010809725,0.037902951,-0.030118529,0.015927781,-0.055658685,-0.085290473,0.24329493,-0.080133309,-0.068747894,0.385844667,-0.064036231,-0.026138044,-0.103664074,0.015330608,0.00737801,0.002251901,0.015702653,-0.004347098,0.010604628,-0.01937935,-0.006991412,0.010203334,0.018459287,-0.034476065,0.015312562,-0.011709791,0.054090004,0.11307061
5_D_Steps2BN,0.196542,-0.147508432,0.030442126,0.015435928,-0.024396522,-0.029620625,-0.012559035,0.006590925,-0.005698816,-0.030488905,0.002714296,0.012610608,-0.012610428,0.009207785,0.00632717,0.001810655,-0.001368149,-0.00114413,-0.031216274,-0.238015983,0.080087869,-0.072333822,0.063939741,-0.021640638,0.026968895,0.020420775,-0.079237881,0.150183051,-0.007992426,-0.041846139,0.0216692
6_A_Steps2BN,-0.009297259,0.00812117,-0.05437886,0.292802605,-0.022782337,0.003102205,0.00309931,-0.009328203,-0.023802104,0.002935434,0.007897795,-0.017856717,-0.000173923,-0.004226858,-0.001589502,0.000436055,0.001221233,-0.002379988,-0.001742606,-0.023594477,0.043031151,0.022756533,-0.071382499,-0.163592693,0.559280251,0.600432607,-0.250052562,-0.174373337,-0.041830945,-0.05768407,-0.058381146
0_A_2ndDeg,1.29E-19,1.87E-18,9.70E-19,-3.30E-19,6.32E-19,-6.78E-18,-3.97E-18,-7.33E-19,-1.06E-17,-1.18E-17,2.69E-18,2.24E-17,-1.66E-19,-6.17E-17,-1.46E-17,8.58E-18,1.07E-17,2.42E-17,-0.002557816,-0.019211087,0.006113352,-0.007275582,0.005133557,-0.001695893,0.001067499,-0.00255735,-0.027354259,0.032160721,0.007990336,0.150328704,0.481049907
1_A_2ndDeg,0.022546073,-0.016582099,0.035055046,-0.008593123,-0.100703914,0.214125088,0.041800875,-0.041190228,0.049667354,0.044022244,0.033204024,-0.094472511,-0.020859079,-0.06755363,-0.024175236,0.007157446,0.003243678,-0.026634137,-0.002980821,-0.027384416,-0.000485694,0.027103885,0.054268289,0.002047325,-0.089471849,0.039636008,-0.194358447,0.124363614,-0.004584561,0.156142497,0.264256434
1_B_2ndDeg,0.022546073,-0.016582099,0.035055046,-0.008593123,-0.100703914,0.214125088,0.041800875,-0.041190228,0.049667354,0.044022244,0.033204024,-0.094472511,-0.020859079,-0.06755363,-0.024175236,0.007157446,0.003243678,-0.026634137,-0.018988205,-0.173551622,0.064341208,0.01837925,0.04969535,-0.041349788,0.06602545,-0.071605131,-0.146050162,0.173237921,0.031258968,0.081129887,-0.036532027
2_A_2ndDeg,0.022546073,-0.016582099,0.035055046,-0.008593123,-0.100703914,0.214125088,0.041800875,-0.041190228,0.049667354,0.044022244,0.033204024,-0.094472511,-0.020859079,-0.06755363,-0.024175236,0.007157446,0.003243678,-0.026634137,-0.019473418,-0.140446032,-0.048037559,-0.192421605,0.287760369,0.095462379,-0.52177414,0.447721606,-0.242202352,0.093876749,0.021907389,-0.040741392,-0.113406489
3_A_2ndDeg,0.022546073,-0.016582099,0.035055046,-0.008593123,-0.100703914,0.214125088,0.041800875,-0.041190228,0.049667354,0.044022244,0.033204024,-0.094472511,-0.020859079,-0.06755363,-0.024175236,0.007157446,0.003243678,-0.026634137,0.000646556,-0.028100664,0.024514004,0.087522919,-0.00484146,-0.036897292,0.094427245,-0.084908348,0.066443888,-0.065531755,-0.029130438,0.097744372,0.152972102
3_B_2ndDeg,0.022546073,-0.016582099,0.035055046,-0.008593123,-0.100703914,0.214125088,0.041800875,-0.041190228,0.049667354,0.044022244,0.033204024,-0.094472511,-0.020859079,-0.06755363,-0.024175236,0.007157446,0.003243678,-0.026634137,0.002642709,-0.026917958,0.00726672,0.057633989,0.036535152,-0.02121925,0.040532522,0.001380993,0.281812051,-0.277462706,-0.053754294,-0.088208554,-0.254305685
3_C_2ndDeg,-0.096672842,-0.088645609,0.15306283,0.025153834,-0.019570732,0.156683455,-0.000319673,-0.186910788,-0.171719026,0.017077977,-0.093242913,0.258300448,-0.017911464,-0.104683029,0.601410377,-0.047340758,0.004341183,0.06638644,-0.02144487,-0.275403294,0.028108023,-0.108112084,0.082449892,-0.042821676,0.046787805,0.004247785,0.099459269,0.029233709,0.043782807,-0.009802436,0.048724152
4_A_2ndDeg,-0.011777054,-0.041482476,0.064858893,0.044224111,-0.006275814,0.306329207,-0.023340153,0.355091293,0.121600488,-0.02093682,-0.070539704,0.171325803,0.150206022,0.048389597,-0.037561852,0.064881997,0.102223058,0.131557938,-0.004444634,0.059659122,0.01985352,-0.182149572,0.051902722,0.06003767,0.030785652,0.089682181,0.237652783,-0.147562491,0.034508612,-0.03719862,0.004461823
